| Contract                                | Size (kB) | Margin (kB) |
|-----------------------------------------|-----------|-------------|
| Address                                 | 0.086     | 24.49       |
| ArrayReplaceLib                         | 0.086     | 24.49       |
| Ballot                                  | 0.086     | 24.49       |
| BaseGeneralConfig                       | 28.291    | -3.715      |
| BridgeOperatorsBallot                   | 0.166     | 24.41       |
| BridgeTrackingRecoveryLogic             | 0.913     | 23.663      |
| ECDSA                                   | 0.086     | 24.49       |
| ERC1967Proxy                            | 0.19      | 24.386      |
| ERC20                                   | 2.425     | 22.151      |
| ERC20PresetMinterPauser                 | 6.934     | 17.642      |
| EmergencyExitBallot                     | 0.086     | 24.49       |
| EnumFlags                               | 0.086     | 24.49       |
| EnumerableSet                           | 0.086     | 24.49       |
| ErrorHandler                            | 0.086     | 24.49       |
| FastFinalityTracking                    | 6.312     | 18.264      |
| Forwarder                               | 3.816     | 20.76       |
| GeneralConfig                           | 28.291    | -3.715      |
| GlobalProposal                          | 0.166     | 24.41       |
| HasBridgeDeprecated                     | 0.063     | 24.513      |
| HasBridgeTrackingDeprecated             | 0.063     | 24.513      |
| HasGovernanceAdminDeprecated            | 0.063     | 24.513      |
| HasMaintenanceDeprecated                | 0.063     | 24.513      |
| HasSlashIndicatorDeprecated             | 0.063     | 24.513      |
| HasStakingDeprecated                    | 0.063     | 24.513      |
| HasStakingVestingDeprecated             | 0.063     | 24.513      |
| HasTrustedOrgDeprecated                 | 0.063     | 24.513      |
| HasValidatorDeprecated                  | 0.063     | 24.513      |
| ISignatureValidatorConstants            | 0.063     | 24.513      |
| IsolatedGovernance                      | 0.086     | 24.49       |
| JSONParserLib                           | 0.086     | 24.49       |
| LibApplyCandidate                       | 0.086     | 24.49       |
| LibArray                                | 0.086     | 24.49       |
| LibArrayUtils                           | 0.086     | 24.49       |
| LibArtifact                             | 0.086     | 24.49       |
| LibDeploy                               | 0.086     | 24.49       |
| LibErrorHandler                         | 0.086     | 24.49       |
| LibIndexMap                             | 0.086     | 24.49       |
| LibPrecompile                           | 0.086     | 24.49       |
| LibProposal                             | 0.086     | 24.49       |
| LibProxy                                | 0.086     | 24.49       |
| LibSLA                                  | 0.086     | 24.49       |
| LibSharedAddress                        | 0.086     | 24.49       |
| LibSortValidatorsByBeacon               | 0.086     | 24.49       |
| LibSortValidatorsByBeaconOld            | 0.086     | 24.49       |
| LibString                               | 0.086     | 24.49       |
| LibTUint256Slot                         | 0.086     | 24.49       |
